"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_input_co_toggle_admin","Admin Toggle","Adminmodus umschalten","Admin Toggle","Admin Toggle","Включить режим администратора","Przełącznik Administratora","Admin Toggle","Admin Toggle","Admin Toggle","Admin Toggle","Admin Toggle","Admin Toggle","Admin Toggle","Admin Toggle",
"lb_input_co_open_admin","Admin Open Menu","Adminmenü öffnen","Admin Open Menu","Admin Open Menu","Открыть меню администратора","Otwórz Menu Administratora","Admin Open Menu","Admin Open Menu","Admin Open Menu","Admin Open Menu","Admin Open Menu","Admin Open Menu","Admin Open Menu","Admin Open Menu",
"lb_admin_currencies","Currencies","Währungen","Currencies","Currencies","Currencies","Waluty","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies",
"lb_admin_updates","Updates","Updates","Updates","Updates","Updates","Aktualizacje","Updates","Updates","Updates","Updates","Updates","Updates","Updates","Updates",
"lb_file_selector","Select a file","Datei auswählen","Select a file","Select a file","Select a file","Wybierz plik","Select a file","Select a file","Select a file","Select a file","Select a file","Select a file","Select a file","Select a file",
"lb_file_select","select","auswählen","select","select","select","wybierać","select","select","select","select","select","select","select","select",
"lb_title_admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","Administrator LBmaster","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin","LBmaster Admin",
"lb_message_admin_enabled","Admin Mode enabled","Admin Modus aktiviert","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Tryb Administratora Włączony","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled","Admin Mode enabled",
"lb_message_admin_disabled","Admin Mode disabled","Admin Modus deaktiviert","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Tryb Administratora Wyłączony","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled","Admin Mode disabled",
"lb_admin_place","Place","Platziere","Place","Place","Place","Ustaw","Place","Place","Place","Place","Place","Place","Place","Place",
"lb_message_all_updated","All Mods are up to date","Alle Mods sind auf dem neusten Stand","All Mods are up to date","All Mods are up to date","All Mods are up to date","Wszystkie mody są aktualne","All Mods are up to date","All Mods are up to date","All Mods are up to date","All Mods are up to date","All Mods are up to date","All Mods are up to date","All Mods are up to date","All Mods are up to date",
"lb_message_update_timeout","Could not contact Update Server !","Update Server konnte nicht erreicht werden !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Nie można nawiązać połączenia z serwerem aktualizacji !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !","Could not contact Update Server !",
"lb_place_success","Successfully placed a new","Neues Item wurde erfolgreich platziert: ","Successfully placed a new","Successfully placed a new","Successfully placed a new","Pomyślnie umieszczono nowy","Successfully placed a new","Successfully placed a new","Successfully placed a new","Successfully placed a new","Successfully placed a new","Successfully placed a new","Successfully placed a new","Successfully placed a new",
