"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_shadowfox_carlock_item_name","Car Lock","Elektronische Fahrzeugschlüsselkarte","Electronic Vehicle Key Card","Elektronická karta klíčů vozidla","Электронная карта ключа автомобиля","Elektroniczna karta klucza pojazdu","Elektronikus jármű kulcskártya","Carta chiave elettronica del veicolo","Tarjeta de llave electrónica del vehículo","Carte-clé électronique de véhicule","载具钥匙电子卡","電子車両キーカード","Cartão de chave eletrônico do veículo","载具钥匙电子卡",
"STR_shadowfox_carlock_item_desc","Car Lock","Elektronische Schlüsselkarte, die mit einem 4-stelligen Passwort an Ihrem Fahrzeug installiert werden kann. Nach der Kopplung können Sie Ihr Fahrzeug schnell verriegeln/entriegeln, indem Sie die U-Taste drücken. Das Passwort kann mit vertrauenswürdigen Freunden geteilt werden.","Electronic key card that can be installed on your vehicle with a 4-digit password. Once paired, you can quickly lock/unlock your vehicle by pressing the U key. The password can be shared with trusted friends.","Elektronická karta klíčů, kterou lze nainstalovat do vašeho vozidla s 4místným heslem. Po spárování můžete rychle zamknout/odemknout vozidlo stisknutím klávesy U. Heslo lze sdílet s důvěryhodnými přáteli.","Электронная карта-ключ, которую можно установить на ваш автомобиль с 4-значным паролем. После сопряжения вы можете быстро запирать/отпирать свой автомобиль, нажимая клавишу U. Паролем можно поделиться с доверенными друзьями.","Elektroniczna karta klucza, którą można zainstalować w pojeździe za pomocą 4-cyfrowego hasła. Po sparowaniu możesz szybko zablokować/odblokować pojazd, naciskając klawisz U. Hasło można udostępniać zaufanym znajomym.","Elektronikus kulcskártya, amely 4 számjegyű jelszóval telepíthető a járművére. Párosítás után gyorsan zárolhatja/feloldhatja járművét az U gomb megnyomásával. A jelszó megosztható megbízható barátokkal.","Carta chiave elettronica che può essere installata sul tuo veicolo con una password a 4 cifre. Una volta abbinato, puoi bloccare/sbloccare rapidamente il tuo veicolo premendo il tasto U. La password può essere condivisa con amici fidati.","Tarjeta de llave electrónica que se puede instalar en su vehículo con una contraseña de 4 dígitos. Una vez emparejado, puede bloquear/desbloquear rápidamente su vehículo presionando la tecla U. La contraseña se puede compartir con amigos de confianza.","Carte-clé électronique qui peut être installée sur votre véhicule avec un mot de passe à 8 chiffres. Une fois appairée, vous pouvez rapidement verrouiller/déverrouiller votre véhicule en appuyant sur la touche U. Le mot de passe peut être partagé avec des amis de confiance.","现代科技钥匙卡，可以安装在车辆上并设置8位数字密码。一旦配对，可以通过按U键快速锁定/解锁您的车辆。密码可以与信任的朋友共享。","8桁のパスワードで車両に取り付けられる電子キーカード。ペアリング後、Uキーを押すと車両をすばやくロック/ロック解除できます。パスワードは信頼できる友人と共有できます。","Cartão de chave eletrônico que pode ser instalado em seu veículo com uma senha de 8 dígitos. Uma vez emparelhado, você pode bloquear/desbloquear rapidamente seu veículo pressionando a tecla U. A senha pode ser compartilhada com amigos confiáveis.","现代科技钥匙卡，可以安装在车辆上并设置8位数字密码。一旦配对，可以通过按U键快速锁定/解锁您的车辆。密码可以与信任的朋友共享。",
"STR_shadowfox_carlock_lockpick_name","Car Lock Pick","Elektronischer Schlossdecoder","Electronic Lock Decoder","Dekodér elektronických zámků","Декодер электронных замков","Dekoder zamka elektronicznego","Elektronikus zár dekódoló","Decodificatore di serrature elettroniche","Decodificador de cerraduras electrónicas","Décodeur de serrure électronique","电子锁解码器","電子ロックデコーダー","Decodificador de fechaduras eletrônicas","电子锁解码器",
"STR_shadowfox_carlock_lockpick_desc","Car Lock Pick","Professionelles Werkzeug zum Knacken elektronischer Fahrzeugschlüsselkarten. Kann verwendet werden, um zu versuchen, in verschlossene Fahrzeuge einzubrechen, aber der Erfolg hängt von Ihrem Glück ab.","Professional tool for cracking electronic vehicle key cards. Can be used to attempt to break into locked vehicles, but success depends on your luck.","Profesionální nástroj pro prolomení elektronických klíčových karet vozidel. Lze použít k pokusu o vloupání do zamčených vozidel, ale úspěch závisí na vašem štěstí.","Профессиональный инструмент для взлома электронных ключ-карт автомобилей. Может использоваться для попытки взлома запертых транспортных средств, но успех зависит от вашей удачи.","Profesjonalne narzędzie do łamania elektronicznych kart kluczy pojazdów. Może służyć do próby włamania się do zamkniętych pojazdów, ale powodzenie zależy od szczęścia.","Professzionális eszköz elektronikus jármű kulcskártyák feltöréséhez. Használható zárolt járművekbe való betörési kísérletekhez, de a siker a szerencséjétől függ.","Strumento professionale per violare le carte chiave elettroniche dei veicoli. Può essere utilizzato per tentare di introdursi nei veicoli bloccati, ma il successo dipende dalla fortuna.","Herramienta profesional para descifrar tarjetas electrónicas de llaves de vehículos. Se puede utilizar para intentar entrar en vehículos cerrados, pero el éxito depende de su suerte.","Outil professionnel pour cracker les cartes-clés électroniques de véhicules. Peut être utilisé pour tenter de s'introduire dans des véhicules verrouillés, mais le succès dépend de votre chance.","用于破解电子车钥匙卡的专业工具。可以尝试破解锁定的车辆，但成功率取决于您的运气。","電子車両キーカードを解読するためのプロフェッショナルツール。ロックされた車両に侵入しようとするために使用できますが、成功は運によります。","Ferramenta profissional para quebrar cartões-chave eletrônicos de veículos. Pode ser usado para tentar invadir veículos trancados, mas o sucesso depende da sua sorte.","用于破解电子车钥匙卡的专业工具。可以尝试破解锁定的车辆，但成功率取决于您的运气。",
"STR_shadowfox_carlock_is_unlocked","Vehicle Unlocked","Fahrzeug entriegelt","Vehicle Unlocked","Vozidlo odemčeno","Автомобиль разблокирован","Pojazd odblokowany","Jármű feloldva","Veicolo sbloccato","Vehículo desbloqueado","Véhicule déverrouillé","车辆已解锁","車両のロックが解除されました","Veículo desbloqueado","车辆已解锁",
"STR_shadowfox_carlock_is_locked","Vehicle Locked","Fahrzeug verriegelt","Vehicle Locked","Vozidlo uzamčeno","Автомобиль заперт","Pojazd zablokowany","Jármű lezárva","Veicolo bloccato","Vehículo bloqueado","Véhicule verrouillé","车辆已锁定","車両がロックされました","Veículo bloqueado","车辆已锁定",
"STR_shadowfox_carlock_install_lock","Install Lock","Schloss installieren","Install Lock","Instalovat zámek","Установить замок","Zainstaluj blokadę","Zár telepítése","Installa serratura","Instalar cerradura","Installer la serrure","安装锁","ロックをインストール","Instalar fechadura","安装锁",
"STR_shadowfox_carlock_remove_lock","Remove Lock","Schloss entfernen","Remove Lock","Odstraňte zámek","Снять замок","Usuń blokadę","Zár eltávolítása","Rimuovi serratura","Quitar cerradura","Retirer la serrure","移除锁","ロックを削除","Remover fechadura","移除锁",
"STR_shadowfox_carlock_enter_password","Enter Password","Passwort eingeben","Enter Password","Zadejte heslo","Введите пароль","Wprowadź hasło","Írja be a jelszót","Inserisci la password","Introducir contraseña","Entrer le mot de passe","输入密码","パスワードを入力してください","Digite a senha","输入密码",
"STR_shadowfox_carlock_set_password","Set Password","Passwort festlegen","Set Password","Nastavit heslo","Установить пароль","Ustaw hasło","Jelszó beállítása","Imposta password","Establecer contraseña","Définir le mot de passe","设置密码","パスワードを設定する","Definir senha","设置密码",
"STR_shadowfox_carlock_change_password","Change Password","Passwort ändern","Change Password","Změnit heslo","Изменить пароль","Zmień hasło","Jelszó módosítása","Modifica password","Cambiar contraseña","Changer le mot de passe","修改密码","パスワードを変更する","Alterar senha","修改密码",
"STR_shadowfox_carlock_wrong_password","Wrong Password","Falsches Passwort","Wrong Password","Špatné heslo","Неправильный пароль","Złe hasło","Rossz jelszó","Password errata","Contraseña incorrecta","Mot de passe incorrect","密码错误","パスワードが間違っています","Senha incorreta","密码错误",
"STR_shadowfox_carlock_not_owner","Not Owner","Nicht Eigentümer","Not Owner","Není vlastník","Не владелец","Nie właściciel","Nem tulajdonos","Non proprietario","No propietario","Pas propriétaire","不是所有者","所有者ではありません","Não é proprietário","不是所有者",
"STR_shadowfox_carlock_admin_option","Admin Options","Admin-Optionen","Admin Options","Možnosti správce","Опции администратора","Opcje administratora","Adminisztrátori beállítások","Opzioni amministratore","Opciones de administrador","Options d'administrateur","管理员菜单","管理者オプション","Opções de administrador","管理员菜单",
"STR_shadowfox_carlock_lockpick_success","Lock Pick Success","Schlossknacken erfolgreich","Lock Pick Success","Úspěšné otevření zámku","Взлом успешен","Sukces wybijania zamka","Zártörés sikeres","Successo nel raccogliere la serratura","Éxito en la ganzúa","Crochetage réussi","撬锁成功","ロックピック成功","Sucesso na abertura da fechadura","撬锁成功",
"STR_shadowfox_carlock_lockpick_failed","Lock Pick Failed","Schlossknacken fehlgeschlagen","Lock Pick Failed","Otevření zámku se nezdařilo","Взлом не удался","Niepowodzenie wybijania zamka","Zártörés sikertelen","Fallimento nel raccogliere la serratura","Fallo en la ganzúa","Échec du crochetage","撬锁失败","ロックピック失敗","Falha na abertura da fechadura","撬锁失败",
"STR_shadowfox_carlock_lock_admin","Lock Vehicle （Admin）","Fahrzeug verriegeln （Admin）","Lock Vehicle （Admin）","Zamknout vozidlo （Admin）","Заблокировать транспорт （Admin）","Zablokuj pojazd （Admin）","Jármű lezárása （Admin）","Blocca veicolo （Admin）","Bloquear vehículo （Admin）","Verrouiller le véhicule （Admin）","锁定车辆 （管理员）","車両をロック （管理者）","Bloquear veículo （Admin）","锁定车辆 （管理员）",
"STR_shadowfox_carlock_unlock_admin","Unlock Vehicle （Admin）","Fahrzeug entriegeln （Admin）","Unlock Vehicle （Admin）","Odemknout vozidlo （Admin）","Разблокировать транспорт （Admin）","Odblokuj pojazd （Admin）","Jármű feloldása （Admin）","Sblocca veicolo （Admin）","Desbloquear vehículo （Admin）","Déverrouiller le véhicule （Admin）","解锁车辆 （管理员）","車両のロックを解除 （管理者）","Desbloquear veículo （Admin）","解锁车辆 （管理员）",
"STR_shadowfox_carlock_detach_admin","Remove Lock （Admin）","Schloss entfernen （Admin）","Remove Lock （Admin）","Odebrat zámek （Admin）","Снять замок （Admin）","Usuń blokadę （Admin）","Zár eltávolítása （Admin）","Rimuovi serratura （Admin）","Quitar cerradura （Admin）","Retirer la serrure （Admin）","拆卸车锁 （管理员）","ロックを削除 （管理者）","Remover fechadura （Admin）","拆卸车锁 （管理员）",
"STR_shadowfox_carlock_lockpick","Pick Lock","Schloss knacken","Pick Lock","Vypáčit zámek","Вскрыть замок","Wytrych","Zár feltörése","Scassinare serratura","Forzar cerradura","Crocheter la serrure","撬锁","ロックピッキング","Arrombar fechadura","撬锁",
"STR_shadowfox_carlock_user_option","Vehicle Options","Fahrzeug-Optionen","Vehicle Options","Možnosti vozidla","Опции транспорта","Opcje pojazdu","Jármű beállítások","Opzioni veicolo","Opciones de vehículo","Options de véhicule","车辆选项","車両オプション","Opções de veículo","车辆选项",
"STR_shadowfox_carlock_lock_user","Lock Vehicle","Fahrzeug verriegeln","Lock Vehicle","Zamknout vozidlo","Заблокировать транспорт","Zablokuj pojazd","Jármű lezárása","Blocca veicolo","Bloquear vehículo","Verrouiller le véhicule","锁定车辆","車両をロック","Bloquear veículo","锁定车辆",
